scenario,seed,steps,burn_in,lookahead,final_age,mean_postburn_age,replacement_rate,switch_rate,final_abs_habitus
Heterogeneous,20260730,5000,1000,20,471.0,413.3693385416667,0.0028697916666666668,0.053772145366710586,0.6225800872154984
Heterogeneous,20260731,5000,1000,20,609.8125,439.82954166666644,0.0025416666666666665,0.051232172266139665,0.5936878989419856
Heterogeneous,20260732,5000,1000,20,389.0416666666667,411.06655208333336,0.0027760416666666667,0.053422546113307,0.5761775662458595
Heterogeneous,20260733,5000,1000,20,403.1458333333333,447.4353437499999,0.0027291666666666666,0.055333518610013184,0.5341747616039313
Heterogeneous,20260734,5000,1000,20,466.1875,378.78096875000006,0.0031041666666666665,0.05524135375494072,0.6967830520907947
Heterogeneous,20260735,5000,1000,20,375.625,452.573171875,0.002447916666666667,0.05536155420666291,0.6102855846012715
Heterogeneous,20260736,5000,1000,20,545.2083333333334,411.15519270833335,0.0026666666666666666,0.05255517127799737,0.5261968129571029
Heterogeneous,20260737,5000,1000,20,327.75,377.7331510416668,0.002911458333333333,0.05653755352437418,0.7974730218312365
Heterogeneous,20260738,5000,1000,20,406.4583333333333,445.3757083333333,0.0028385416666666667,0.053570450428195,0.5213191348849927
Heterogeneous,20260739,5000,1000,20,479.6875,386.3124375,0.0028333333333333335,0.055925236448334276,0.6057027152065081
Heterogeneous,20260740,5000,1000,20,303.0833333333333,365.5307395833331,0.0027708333333333335,0.05372978425559948,0.6862716954677054
Heterogeneous,20260741,5000,1000,20,398.125,370.94870833333346,0.0028125,0.05436705368906456,0.5780809419597069
Heterogeneous,20260742,5000,1000,20,506.9791666666667,429.1400104166669,0.0023489583333333335,0.05339241600790515,0.8006693051407584
Heterogeneous,20260743,5000,1000,20,411.2291666666667,384.37763541666675,0.0027916666666666667,0.05363530197157916,0.8216723892980875
Heterogeneous,20260744,5000,1000,20,335.6458333333333,377.605359375,0.00296875,0.04777318311217769,0.7218956364925622
Heterogeneous,20260745,5000,1000,20,525.4375,393.36207291666665,0.0027864583333333335,0.05682023495827845,0.7128167522782682
Heterogeneous,20260746,5000,1000,20,345.7083333333333,419.8462395833333,0.0027708333333333335,0.05848467830478701,0.561960695227651
Heterogeneous,20260747,5000,1000,20,738.0416666666666,441.23735937499976,0.002625,0.05602118330039527,0.557803949511981
Heterogeneous,20260748,5000,1000,20,510.125,382.8273125,0.0028854166666666668,0.05184010622529645,0.7882657172500447
Heterogeneous,20260749,5000,1000,20,416.1458333333333,411.14611979166665,0.002828125,0.04896567715195433,0.8094681352448636
Heterogeneous,20260750,5000,1000,20,468.8958333333333,448.7968697916667,0.00259375,0.06201725131752306,0.6091448082872383
Heterogeneous,20260751,5000,1000,20,535.75,431.41952604166676,0.0026510416666666666,0.05335159063460695,0.7671318787269498
Heterogeneous,20260752,5000,1000,20,459.4791666666667,441.076,0.002510416666666667,0.05030852684453229,0.6500304999217537
Heterogeneous,20260753,5000,1000,20,584.5,441.00377604166675,0.002203125,0.05528943236714977,0.563566427311831
Heterogeneous,20260754,5000,1000,20,419.9791666666667,349.96585416666665,0.0031458333333333334,0.05381125305853568,0.6998517615924547
Heterogeneous,20260755,5000,1000,20,585.0833333333334,476.8605729166665,0.0019895833333333332,0.05340600296442689,0.7069217020534189
Heterogeneous,20260756,5000,1000,20,443.0416666666667,367.1615885416667,0.0027447916666666666,0.05866911369126043,0.5494573840195706
Heterogeneous,20260757,5000,1000,20,1081.875,530.1601458333332,0.0019895833333333332,0.05033623600131753,0.5040263442048272
Heterogeneous,20260758,5000,1000,20,295.9166666666667,330.97471875000014,0.0033333333333333335,0.05804426877470357,0.7302183943586603
Heterogeneous,20260759,5000,1000,20,437.4166666666667,364.04056770833336,0.002911458333333333,0.05126046744620115,0.5180765943024338
Decision-aware,20260730,5000,1000,20,449.4375,488.14961458333323,0.00209375,0.042295619235836635,0.615378689952975
Decision-aware,20260731,5000,1000,20,481.0625,447.57651041666657,0.00234375,0.04020356554677209,0.7054564261680975
Decision-aware,20260732,5000,1000,20,582.5208333333334,493.1797031250001,0.0020885416666666665,0.03955868879007467,0.5695286777236053
Decision-aware,20260733,5000,1000,20,507.4791666666667,471.30735416666664,0.0022083333333333334,0.039276309288537564,0.6521818456748051
Decision-aware,20260734,5000,1000,20,443.7916666666667,402.14274479166664,0.0025885416666666665,0.046671976559068955,0.6974184924237717
Decision-aware,20260735,5000,1000,20,404.625,473.7050625,0.0023020833333333335,0.0420136693017128,0.7741323992471588
Decision-aware,20260736,5000,1000,20,410.1041666666667,513.8269635416667,0.0021979166666666666,0.04512644104084323,0.5709513040066213
Decision-aware,20260737,5000,1000,20,638.375,483.9073437499999,0.0020208333333333332,0.04379345767457181,0.6371444435843371
Decision-aware,20260738,5000,1000,20,442.75,437.94204166666657,0.0022604166666666667,0.041501471234079934,0.7101798014488678
Decision-aware,20260739,5000,1000,20,749.9166666666666,582.16325,0.00184375,0.04217753623188407,0.7836073955490824
Decision-aware,20260740,5000,1000,20,493.0625,466.9010572916667,0.0022760416666666667,0.04251691644707951,0.6568615294952423
Decision-aware,20260741,5000,1000,20,536.0208333333334,587.0108541666667,0.00178125,0.03967824302810718,0.8092669297054753
Decision-aware,20260742,5000,1000,20,558.3333333333334,548.3632291666665,0.0021041666666666665,0.04124211544795785,0.6760253637950441
Decision-aware,20260743,5000,1000,20,456.6458333333333,486.54733333333337,0.002109375,0.04985951635924463,0.6619068458473564
