scenario,replicates,steps,burn_in,lookahead,final_age_mean,final_age_sd,mean_postburn_age_mean,mean_postburn_age_sd,replacement_rate_mean,replacement_rate_sd,switch_rate_mean,switch_rate_sd,final_abs_habitus_mean,final_abs_habitus_sd
Heterogeneous,30,5000,1000,20,475.87916666666666,150.74907603698853,410.70375277777777,42.422825808039796,0.002712673611111111,0.0002999050829817525,0.054149182135799,0.003029015480261028,0.6473903882743317,0.10074914551799435
Decision-aware,30,5000,1000,20,516.4145833333333,125.51880320411975,499.60204201388893,62.663668525927946,0.0021199652777777783,0.0002262975244543208,0.04324608489789197,0.0029090753555569763,0.684055798763649,0.10575711478884563
Two-frame naive,30,5000,1000,20,314.3402777777777,50.15675270941221,293.94212204861105,23.440193720952653,0.003914756944444445,0.00024908718701313316,0.05023689976891064,0.0018282231172130528,0.6875563842555091,0.08062154034235842
Naive,30,5000,1000,20,336.68541666666675,208.61231976227393,281.5493756944444,51.286589040506094,0.004511284722222221,0.0005457236500400571,0.07437716910288668,0.004333242597184378,0.6456393704354965,0.08434036744576716
