seed,timing,habit,steps,burn_in,population,ring_y,lookahead,error_rate,habit_weight,encounters,failures,encounter_rate,failure_rate,compatibility_rate,precoordination_rate,disposition_alignment,disposition_predictability,death_rate,persistence,convention_strength,mean_abs_habitus
20260801,sequential,false,600,150,120,300,60,0.01,0.5,5260,103,0.0974074074074074,0.019581749049429657,0.9804182509505703,0.9677481282395853,0.9875215972355539,0.9831788206059447,0.005314814814814815,0.9686162624821684,1.0,0.9795734934628553
20260801,sequential,true,600,150,120,300,60,0.01,0.5,5448,106,0.10088888888888889,0.019456681350954477,0.9805433186490455,0.979933110367893,0.9994425863991081,0.990021251039453,0.005185185185185185,0.9793369455413721,0.9833333333333333,0.9924555874114208
20260801,simultaneous,false,600,150,120,300,60,0.01,0.5,5483,117,0.10153703703703704,0.0213386832026263,0.9786613167973737,0.9666543846720708,0.987656595431098,0.9829420396184886,0.005185185185185185,0.9677007299270073,0.9666666666666667,0.9667327755511113
20260801,simultaneous,true,600,150,120,300,60,0.01,0.5,5433,93,0.10061111111111111,0.017117614577581448,0.9828823854224186,0.9803448915260523,0.9974040422770257,0.9901072485207101,0.004462962962962963,0.9787234042553191,0.9833333333333333,0.9626618924167973
20260802,sequential,false,600,150,120,300,60,0.01,0.5,5495,100,0.10175925925925926,0.018198362147406732,0.9818016378525932,0.9752111641571796,0.9941241278002203,0.9871947315466935,0.0050185185185185185,0.9738663267164451,0.9833333333333333,0.9737985981810945
20260802,sequential,true,600,150,120,300,60,0.01,0.5,5479,104,0.10146296296296296,0.018981565979193284,0.9810184340208067,0.9740092165898617,0.9933640552995392,0.9868698925718483,0.005296296296296296,0.9770671539515761,0.95,0.9358042249756976
20260802,simultaneous,false,600,150,120,300,60,0.01,0.5,5449,122,0.1009074074074074,0.02238942925307396,0.977610570746926,0.9760534620382402,0.9985149433822165,0.9879874330068379,0.005851851851851852,0.9667401690554943,0.9333333333333333,0.9786628996986817
20260802,simultaneous,true,600,150,120,300,60,0.01,0.5,5399,124,0.09998148148148148,0.0229672161511391,0.9770327838488609,0.9758109881867617,0.9986874179636227,0.9877821301995896,0.005388888888888889,0.9776624339605153,1.0,0.9759760677775382
20260803,sequential,false,600,150,120,300,60,0.01,0.5,5411,104,0.1002037037037037,0.019220107189059324,0.9807798928109407,0.9779315504020947,0.9992519169627828,0.9880952380952381,0.005888888888888889,0.9716187482666173,0.9166666666666666,0.9514867901269917
20260803,sequential,true,600,150,120,300,60,0.01,0.5,5362,122,0.0992962962962963,0.022752704214845206,0.9772472957851548,0.975513279336975,0.9981164061028442,0.9878117382336397,0.005462962962962963,0.9733233840126854,1.0,0.9515347814529803
