seed,treatment,policy,fixed_risk_aversion,steps,burn_in,population,ring_x,ring_y,lookahead,error_rate,mixture_share,capability_mutation_rate,trait_mutation_scale,mean_convention_strength,coordinated_fraction,time_to_convention,completed_cells_per_car_step,mean_proposed_speed,mean_realized_speed,dangerous_proposal_acceptance,replacement_pressure,population_risk_mean,population_risk_std,survivor_risk_mean,selected_parent_risk_mean,final_risk_mean,final_risk_std,final_risk_q10,final_risk_median,final_risk_q90
20260904,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9596375000000001,0.999,10,2.90685,2.9676458333333335,2.9804993815939285,0.5034800047186505,0.024710416666666665,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260904,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9620083333333337,0.99975,140,2.8799333333333332,2.924525,2.946016158283838,0.0,0.02243125,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260904,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9596625000000001,0.9995,74,2.90504375,2.9672229166666666,2.9801879473473862,0.4980899206582427,0.025214583333333332,0.49568414508325004,0.28844191995668383,0.4956379674321041,NaN,0.4751140186209715,0.27468204960964926,0.10486183609798486,0.510440841655194,0.7902912062427294
20260904,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9735958333333338,1.0,88,2.9424645833333334,2.9930791666666665,2.9965269232401237,0.8456655942961482,0.018041666666666668,0.15397777189038978,0.13925595755238673,0.1539588251415158,0.1505821572601056,0.1290114189752399,0.1102309744828073,0.0,0.10819952942970645,0.28416259117279324
20260905,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9663583333333335,1.0,18,2.9372125,3.0,3.0,1.0,0.020929166666666665,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
20260905,fixed_0.5,fixed risk aversion,0.5,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9585791666666669,0.99975,27,2.9022375,2.96618125,2.979741826465461,0.4994024244493768,0.026010416666666668,0.5,0.0,0.5,NaN,0.5,0.0,0.5,0.5,0.5
20260905,fixed_1.0,fixed risk aversion,1.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9606250000000002,1.0,116,2.8741958333333333,2.9213104166666666,2.943955307644049,0.0,0.023695833333333333,1.0,0.0,1.0,NaN,1.0,0.0,1.0,1.0,1.0
20260905,uniform_entry,uniform entry risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9594625000000001,0.999,44,2.90480625,2.96685,2.980058946864467,0.497229189756752,0.025252083333333335,0.4978882305113261,0.28839428105962245,0.49790547464185425,NaN,0.5382463089054333,0.2747892633212044,0.15563444906538274,0.5584227689086725,0.912087094510545
20260905,uniform_evolutionary,uniform evolutionary risk,NaN,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9720750000000002,1.0,23,2.9375604166666665,2.9899145833333334,2.9947158158096503,0.7907953169156238,0.019085416666666667,0.19976212631335752,0.1929834666962087,0.19964868223535756,0.2017590478223309,0.09762224102223666,0.09487799986726912,0.0,0.08316879649356024,0.21774582934423162
20260906,fixed_0.0,fixed risk aversion,0.0,5000,1000,120,2,300,20,0.01,0.5,0.02,0.05,0.9662500000000003,0.99975,58,2.93586875,3.0,3.0,1.0,0.021377083333333335,0.0,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0
