seed,implementation,scenario,steps,burn_in,population,ring_y,lookahead,error_rate,max_speed,mean_convention_strength,final_convention_strength,mean_disposition_strength,mean_speed,replacement_rate,time_to_convention,coordinated_fraction,coordination_entries,mean_coordinated_episode,longest_coordinated_episode,final_habit_share,final_convention_share,final_social_habit_share,final_all_three_share
20260903,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9735125000000004,0.9666666666666667,0.9552505311426027,1.0,0.005270833333333333,295,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260904,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.5507291666666667,0.8333333333333334,0.0,2.9410125,0.09565,47,0.328,97,13.525773195876289,115,0.0,0.0,0.0,0.0
20260904,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.9553791666666668,0.9666666666666667,0.8128684963501046,2.9790958333333317,0.027108333333333335,65,0.99925,4,999.25,1985,1.0,0.0,0.0,0.0
20260904,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.9577916666666669,0.9,0.8019793480206232,2.9802104166666648,0.0260625,63,0.99975,2,1999.5,3005,0.0,1.0,0.0,0.0
20260904,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.9596750000000002,0.9666666666666667,0.7756723819074992,2.9806416666666653,0.02465625,15,0.99975,2,1999.5,3643,0.0,0.0,1.0,0.0
20260904,synchronous_capability,mixture_static_replacement,5000,1000,120,300,20,0.01,3,0.9596625000000001,0.9666666666666667,0.8043126351582589,2.9806874999999993,0.025214583333333332,74,0.9995,3,1332.6666666666667,2735,0.5416666666666666,0.5333333333333333,0.5583333333333333,0.19166666666666668
20260904,synchronous_capability,mixture_evolutionary_replacement,5000,1000,120,300,20,0.01,3,0.9683625000000003,0.9666666666666667,0.785759306122068,2.9837666666666656,0.021716666666666665,45,1.0,1,4000.0,4000,0.8,0.30833333333333335,0.7416666666666667,0.24166666666666667
20260904,sequential_reference,no_habit,5000,1000,120,300,20,0.01,1,0.8611083333333335,0.8833333333333333,0.0,1.0,0.00655625,21,0.83575,18,185.72222222222223,804,NaN,NaN,NaN,NaN
20260904,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9726500000000005,0.95,0.9536135481351428,1.0,0.00524375,95,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260905,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.5691999999999999,0.03333333333333333,0.0,2.9402375,0.0983125,32,0.359,110,13.054545454545455,138,0.0,0.0,0.0,0.0
20260905,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.9549375,0.9666666666666667,0.813528864335951,2.9783354166666656,0.027077083333333335,98,0.99825,4,998.25,1926,1.0,0.0,0.0,0.0
20260905,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.9522541666666668,0.9833333333333333,0.7902622736126262,2.9776979166666657,0.027991666666666668,18,0.99675,11,362.45454545454544,1090,0.0,1.0,0.0,0.0
20260905,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.9537208333333336,0.9166666666666666,0.7650474903421229,2.980085416666666,0.026552083333333334,122,0.993,8,496.5,1651,0.0,0.0,1.0,0.0
20260905,synchronous_capability,mixture_static_replacement,5000,1000,120,300,20,0.01,3,0.9594625000000001,0.9666666666666667,0.8032744616368768,2.9805624999999987,0.025252083333333335,44,0.999,4,999.0,2295,0.5,0.5333333333333333,0.49166666666666664,0.15
20260905,synchronous_capability,mixture_evolutionary_replacement,5000,1000,120,300,20,0.01,3,0.9645583333333336,0.95,0.6928180417927817,2.982718749999999,0.023304166666666667,18,0.99975,2,1999.5,3374,0.26666666666666666,0.7083333333333334,0.725,0.09166666666666666
20260905,sequential_reference,no_habit,5000,1000,120,300,20,0.01,1,0.7696416666666667,0.8666666666666667,0.0,1.0,0.0067666666666666665,190,0.69325,39,71.1025641025641,390,NaN,NaN,NaN,NaN
20260905,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9722791666666671,0.9666666666666667,0.9549724345679035,1.0,0.005158333333333333,128,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260906,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.5490583333333333,0.9,0.0,2.9407645833333325,0.09687916666666667,213,0.322,145,8.882758620689655,96,0.0,0.0,0.0,0.0
20260906,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.9545958333333335,0.9666666666666667,0.8110460494157473,2.978210416666666,0.027341666666666667,68,0.9995,3,1332.6666666666667,3229,1.0,0.0,0.0,0.0
20260906,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.9566041666666668,0.9166666666666666,0.7995591987218897,2.979495833333332,0.02653125,21,0.99925,4,999.25,2270,0.0,1.0,0.0,0.0
20260906,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.9598041666666668,1.0,0.7738598194488956,2.980889583333332,0.024827083333333333,93,1.0,1,4000.0,4000,0.0,0.0,1.0,0.0
20260906,synchronous_capability,mixture_static_replacement,5000,1000,120,300,20,0.01,3,0.9590750000000002,0.9833333333333333,0.803053443980646,2.980029166666666,0.025479166666666667,235,0.99925,4,999.25,2073,0.575,0.45,0.4583333333333333,0.09166666666666666
20260906,synchronous_capability,mixture_evolutionary_replacement,5000,1000,120,300,20,0.01,3,0.968879166666667,1.0,0.7354258979780075,2.984681249999999,0.02108958333333333,21,1.0,1,4000.0,4000,0.6583333333333333,0.8666666666666667,0.525,0.325
20260906,sequential_reference,no_habit,5000,1000,120,300,20,0.01,1,0.8073875,0.26666666666666666,0.0,1.0,0.00666875,255,0.736,30,98.13333333333334,427,NaN,NaN,NaN,NaN
20260906,sequential_reference,habit,5000,1000,120,300,20,0.01,1,0.9723625000000005,0.9833333333333333,0.9544771486762662,1.0,0.005110416666666667,172,1.0,1,4000.0,4000,NaN,NaN,NaN,NaN
20260907,synchronous_capability,no_habit,5000,1000,120,300,20,0.01,3,0.6528791666666667,0.95,0.0,2.945645833333333,0.08693541666666667,169,0.468,180,10.4,64,0.0,0.0,0.0,0.0
20260907,synchronous_capability,habit,5000,1000,120,300,20,0.01,3,0.9548333333333335,0.9666666666666667,0.8121660736202341,2.978239583333332,0.027279166666666667,91,0.99875,6,665.8333333333334,3193,1.0,0.0,0.0,0.0
20260907,synchronous_capability,convention,5000,1000,120,300,20,0.01,3,0.9558166666666668,0.9666666666666667,0.7972599556540906,2.9800333333333318,0.027075,26,0.99825,5,798.6,1122,0.0,1.0,0.0,0.0
20260907,synchronous_capability,socially_formed_habit,5000,1000,120,300,20,0.01,3,0.9587000000000002,0.9833333333333333,0.7721246484231565,2.980249999999999,0.0255875,46,0.99925,4,999.25,1820,0.0,0.0,1.0,0.0
20260907,synchronous_capability,mixture_static_replacement,5000,1000,120,300,20,0.01,3,0.9602666666666668,0.9666666666666667,0.8042526453130016,2.9811416666666655,0.024770833333333332,37,0.99975,2,1999.5,3279,0.4,0.5,0.5416666666666666,0.09166666666666666
