scenario,slug,metric,mean,ci95,minimum,maximum,replicates
Selection only,selection_only,mean_mispricing_pct,-0.4262418255066893,1.2815405070590529,-2.438925540868121,1.0208450554115078,5
Selection only,selection_only,mean_abs_mispricing_pct,4.750181567969132,0.8593128574499842,3.850426091877601,6.384759353102477,5
Selection only,selection_only,return_volatility_pct,0.6622062009269142,0.043092704104092876,0.5885363421426527,0.7239374387791011,5
Selection only,selection_only,excess_kurtosis,-0.1272578866249396,0.13931026997067483,-0.2801345579356038,0.07128098292992702,5
Selection only,selection_only,mean_volume,0.4464611710842436,0.05584967989190738,0.38876510363872,0.5471960165537731,5
Selection only,selection_only,return_acf1,0.8689001779895635,0.017533438477023263,0.8388738595842273,0.8925075496453002,5
Selection only,selection_only,absolute_return_acf1,0.7116406297646514,0.038501720652046365,0.6481978471909706,0.7706387969631427,5
Selection only,selection_only,technical_usage_pct,5.310833333333336,1.3159689733340132,3.985000000000003,7.157500000000002,5
Selection only,selection_only,control_usage_pct,4.512333333333335,2.0777645081620246,2.2583333333333337,8.450000000000003,5
Selection only,selection_only,maximum_drawdown_pct,36.1147537190913,2.638691551002897,32.338281919198856,40.69235701998083,5
Slow exploration,slow_exploration,mean_mispricing_pct,14.169155896302556,0.6056552281805677,12.965765905765375,14.693106762482618,5
Slow exploration,slow_exploration,mean_abs_mispricing_pct,14.335566885071737,0.6495453856786971,13.054160429444968,14.923157366973623,5
Slow exploration,slow_exploration,return_volatility_pct,0.576880842266779,0.03316132796673682,0.5257265030316595,0.6154355889370434,5
Slow exploration,slow_exploration,excess_kurtosis,-0.07576990511136686,0.20268810052407882,-0.26826644082336193,0.23407138905196323,5
Slow exploration,slow_exploration,mean_volume,0.8952544681503009,0.1563665988906983,0.6992696228271048,1.112769791342114,5
Slow exploration,slow_exploration,return_acf1,0.8662759358371843,0.011242851839567762,0.8493147681816827,0.8827079760536505,5
Slow exploration,slow_exploration,absolute_return_acf1,0.7176319243300344,0.013516412431637707,0.6975857177367563,0.7350416493581228,5
Slow exploration,slow_exploration,technical_usage_pct,4.146000000000002,0.580258166432073,3.3950000000000014,4.928333333333336,5
Slow exploration,slow_exploration,control_usage_pct,4.735666666666669,2.525646650714758,1.0733333333333335,9.156666666666672,5
Slow exploration,slow_exploration,maximum_drawdown_pct,29.85112455218437,1.4770145770289633,27.816576096721686,32.23599833551218,5
Medium exploration,medium_exploration,mean_mispricing_pct,20.441400784335904,0.21899123399693507,20.19392934558975,20.718898482026724,5
Medium exploration,medium_exploration,mean_abs_mispricing_pct,20.442229309831486,0.21809622587480068,20.198071973067677,20.718898482026724,5
Medium exploration,medium_exploration,return_volatility_pct,0.5654619339841386,0.04343212221661675,0.5068892952863785,0.6404662920957562,5
Medium exploration,medium_exploration,excess_kurtosis,-0.17430940971506653,0.11382480752593302,-0.3109585322975601,0.007682071754124831,5
Medium exploration,medium_exploration,mean_volume,2.411386513744401,0.516691522420848,1.7466667027553422,3.352384823448248,5
Medium exploration,medium_exploration,return_acf1,0.867976856940279,0.011523971409278551,0.8481130051840597,0.8816972371739339,5
Medium exploration,medium_exploration,absolute_return_acf1,0.7106631056346898,0.021847013518913324,0.6873267887813859,0.7480654257664638,5
Medium exploration,medium_exploration,technical_usage_pct,5.595833333333335,0.9508072311345646,4.205833333333334,6.857500000000001,5
Medium exploration,medium_exploration,control_usage_pct,6.0243333333333355,2.956175518439699,3.1866666666666674,11.88166666666667,5
Medium exploration,medium_exploration,maximum_drawdown_pct,30.435316253045574,2.292905867295067,27.21630220603204,33.84837419099907,5
Rapid exploration,rapid_exploration,mean_mispricing_pct,21.76477106665474,0.3723642092650251,21.16588630786282,22.209548214299176,5
Rapid exploration,rapid_exploration,mean_abs_mispricing_pct,21.76553366786194,0.3718307107801777,21.16588630786282,22.209548214299176,5
Rapid exploration,rapid_exploration,return_volatility_pct,0.6165803297094704,0.04803654295063188,0.5711906497264645,0.6853750436131452,5
Rapid exploration,rapid_exploration,excess_kurtosis,-0.2078615905804801,0.09853523585152206,-0.34389895304062845,-0.057107303658440856,5
Rapid exploration,rapid_exploration,mean_volume,4.712362823339388,0.2630350360852165,4.233472601120593,4.945206915654616,5
Rapid exploration,rapid_exploration,return_acf1,0.8760342880087124,0.011767013163668386,0.8602186167056944,0.8922096857036066,5
Rapid exploration,rapid_exploration,absolute_return_acf1,0.7308080706767346,0.0280465996672936,0.7015031655759176,0.7677401215772164,5
Rapid exploration,rapid_exploration,technical_usage_pct,6.588500000000002,1.5702805335848606,4.672500000000002,8.764166666666668,5
Rapid exploration,rapid_exploration,control_usage_pct,5.986000000000002,3.0372504358456265,1.2283333333333335,10.943333333333337,5
Rapid exploration,rapid_exploration,maximum_drawdown_pct,32.41631351022577,3.692720568349577,28.323008446954102,38.898034531526555,5
